,msa_code,lat,lon,nearest_dist,nearest_location
274,C1674,35.16860061,-80.79533033,364.85276723157745,Atlanta
275,C1682,37.95010108,-78.59290153,184.7238135263561,College Park
276,C1686,35.05198284,-85.35912884,169.7166890306668,Atlanta
277,C1694,41.30706769,-104.68962059999998,151.79856939703828,Boulder
278,C1698,41.82483937,-87.82961901,18.02933596787813,Argonne
279,C1702,39.66692936,-121.60067169999999,251.86724270646937,Palo Alto
280,C1706,39.33762773,-83.05702558,288.5133591314571,Pittsburgh
281,C1010,45.52157878,-98.69595398,549.067036946932,Lincoln
282,C1014,47.14440907,-123.82862079999998,123.8362039294832,Seattle
283,C1018,32.44969005,-99.71767832,512.1576379243769,Houston
284,C1022,34.72804505,-96.68437605,567.3994468955123,Houston
285,C1030,41.89508376,-84.06636675,50.88020457878956,Ann Arbor
286,C1038,18.35928402,-67.0010611,2431.1398437489984,Atlanta
287,C1042,41.14873102,-81.34953388,138.50536054329163,Pittsburgh
288,C1046,32.61314468,-105.7414426,824.1249073246056,Boulder
289,C1050,31.64645978,-84.11531926,235.68773996472922,Atlanta
290,C1054,44.48887877,-122.53499509999999,346.9850246782738,Seattle
291,C1058,42.78850425,-73.94197351,212.9406952517958,Ithaca
292,C1062,35.31195506,-80.25098631,416.5035779871545,Atlanta
293,C1066,43.67384418,-93.34881586,420.5258264633591,Lincoln
294,C1070,34.3669621,-86.30663697,189.579765950847,Atlanta
295,C1074,35.12229007,-106.47158359999999,554.2286815044924,Boulder
296,C1076,32.89675684,-86.00697601,178.1917158066203,Atlanta
297,C1078,31.3305507,-92.54185747,321.9287051801579,Houston
298,C1082,45.93371633,-95.45352368,578.6390218712988,Lincoln
299,C1086,27.69764024,-98.37225864,372.05225260594034,Houston
300,C1090,40.78935087,-75.40384402,79.73630621576493,Princeton
301,C1094,43.29273268,-84.60491105,133.28068994341848,Ann Arbor
302,C1098,45.03110751,-83.16520109,309.3331646177712,Ann Arbor
303,C1102,40.48099527,-78.34860415,139.4350407179315,Pittsburgh
304,C1106,34.58797097,-99.41475851,659.5270891634302,Houston
305,C1110,35.24888864,-101.90954509999999,606.8889166423002,Boulder
306,C1114,32.09640273,-84.22700914,184.8872901836257,Atlanta
307,C1118,42.03637206,-93.69833692,283.8230483840295,Lincoln
308,C1122,42.90228163,-74.43968269,176.1224383876611,Ithaca
309,C1126,62.22490068,-149.5531855,2348.4055338652342,Seattle
310,C1138,32.30503566,-102.6378151,749.3278756588231,Houston
311,C1142,41.64386788,-85.00076485,126.48950594758456,Ann Arbor
312,C1146,42.25322535,-83.83877051,9.252507045692036,Ann Arbor
313,C1150,33.77143246,-85.82603085,133.10191933881762,Atlanta
314,C1154,44.28903135,-88.37115326,288.6039268945083,Argonne
315,C1158,27.18630233,-81.80944295,770.8068991544732,Atlanta
316,C1162,34.13383744,-97.26958852,519.7248501927065,Houston
317,C1164,18.43988779,-66.75917958,2441.593058978565,Atlanta
318,C1166,34.05095586,-93.17636749,520.6869164650252,Houston
319,C1170,35.6006246,-82.68264602,257.7584470496271,Atlanta
320,C1174,40.84602419,-82.27069277,197.14718970779964,Pittsburgh
321,C1178,41.89638114,-80.75901079,174.0184863938379,Pittsburgh
322,C1182,46.01752615,-123.7169992,205.6970325640015,Seattle
323,C1186,39.53174,-95.31344465,183.35038497323663,Lincoln
324,C1190,39.33386321,-82.04512889,213.8015998669157,Pittsburgh
325,C1194,35.42474448,-84.61747489,187.0074929070315,Atlanta
326,C1198,32.21190009,-95.85357792,277.800093194401,Houston
327,C4926,36.32128667,-99.50808421,555.9402780428608,Lincoln
328,C4930,40.82884916,-81.88801899,165.39330959181888,Pittsburgh
329,C4934,42.22280586,-71.92739712,69.24233485560164,Cambridge
330,C4938,43.67423978,-95.75338637,327.86166319009436,Lincoln
331,C4942,46.45702643,-120.7384904,175.82115292547576,Seattle
332,C4946,43.00896575,-97.39476512,251.87036483353828,Lincoln
333,C4950,18.01177177,-66.83070989999999,2471.966896918022,Atlanta
334,C4962,39.91995828,-76.72651407,105.01862432665563,College Park
335,C4966,41.23780883,-80.56764211,100.85097619917659,Pittsburgh
336,C4970,39.15530697,-121.51789270000002,198.1786198973375,Palo Alto
337,C4974,32.76961889,-113.90561880000001,304.5213981616332,San Diego
338,C4978,39.96542185,-81.94438266,173.7060128526653,Pittsburgh
339,C4982,27.00077816,-99.16861279,482.0198100178226,Houston
340,C2402,43.44354942,-73.64881118,238.4991827683322,Cambridge
341,C2406,39.5050211,-107.6603777,211.99689182063426,Boulder
342,C2410,43.11384685,-74.42217481,185.35349612909903,Ithaca
343,C2414,35.36395997,-78.00399713,414.0730457258349,College Park
344,C2418,32.42992832,-97.83226751,379.83581336968723,Houston
345,C2422,47.83595965,-96.84438542,781.7077273336932,Lincoln
346,C2426,41.08670284,-98.36534669,144.78801204309795,Lincoln
347,C2430,39.018290500000006,-108.4664402,295.6762432412098,Boulder
348,C2433,47.50952523,-93.63200853,783.8353823749597,Lincoln
349,C2434,43.03614487,-85.775185,187.04686542108465,Ann Arbor
350,C2438,34.91257799,-107.9997243,616.2886353621013,Boulder
351,C2442,42.36549924,-123.55549769999999,560.5577907761366,Palo Alto
352,C2446,38.47896397,-98.75646429,313.9254774044619,Lincoln
353,C2450,47.30795445,-111.3470459,729.3059163524462,Salt Lake City
354,C2454,40.5548299,-104.3925314,95.6555244094974,Boulder
355,C2458,44.69882136,-87.82507975,332.6742056473143,Argonne
356,C2462,36.17535125,-82.84582666,303.6530290310019,Atlanta
357,C2466,36.0258608,-79.79160151,414.6509856824329,College Park
358,C2470,39.30699993,-85.50114305,251.2291903785943,Urbana-Champaign
359,C2474,33.2836981,-90.94745464,573.6633595932816,Houston
